customer_id,tenure,monthly_charges,total_charges,contract,payment_method,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,churn
CUST_00000,52,119.40816546455756,5752.9463359246365,Month-to-month,Electronic check,DSL,Yes,Yes,No,No,No internet service,Yes,1
CUST_00001,15,21.107855259430966,5800.454556071712,Two year,Credit card,No,No,Yes,Yes,No,No internet service,No internet service,0
CUST_00002,61,93.01734533106766,2330.9371698360333,Month-to-month,Mailed check,No,No internet service,Yes,No internet service,No,No internet service,Yes,1
CUST_00003,21,77.17893159359805,6698.921040781756,Two year,Credit card,No,No,No,No,No,No internet service,Yes,0
CUST_00004,24,63.40521760809567,2603.0750548376072,Month-to-month,Electronic check,DSL,No internet service,No internet service,No internet service,No,No internet service,No internet service,0
CUST_00005,3,32.75701745713709,5828.235679493684,Two year,Mailed check,No,No internet service,No,Yes,No,No,Yes,1
CUST_00006,22,60.908514863487625,1055.8981633453247,One year,Electronic check,Fiber optic,Yes,No internet service,No,No internet service,Yes,No,0
CUST_00007,53,55.43771829861353,1432.7429781495907,One year,Electronic check,No,No internet service,No internet service,Yes,Yes,No internet service,No,0
CUST_00008,2,50.28298889787422,2594.785591615184,One year,Bank transfer,DSL,No,Yes,No,Yes,No,Yes,0
CUST_00009,30,93.08796233222077,4791.602764576106,Month-to-month,Electronic check,Fiber optic,No,No,Yes,No internet service,No,Yes,1
CUST_00010,38,90.07255212842638,5199.540735281725,Two year,Credit card,Fiber optic,Yes,Yes,No,No,Yes,No,0
CUST_00011,2,78.90200909809116,3231.2137585430514,Two year,Credit card,Fiber optic,No internet service,No,No,No,No,Yes,0
CUST_00012,64,113.86648132933722,714.9293095730609,One year,Credit card,No,No,No,No,No,Yes,Yes,0
CUST_00013,60,54.985438418085444,3051.7137515325217,One year,Mailed check,DSL,Yes,Yes,No internet service,Yes,No internet service,No internet service,0
CUST_00014,21,44.38019377101796,5541.263376077297,One year,Bank transfer,DSL,No,No,Yes,Yes,No,No internet service,0
CUST_00015,33,85.59033130983995,5400.864142929496,Two year,Bank transfer,No,Yes,Yes,Yes,No,No,No,0
CUST_00016,58,39.881406093740296,1365.5516643229978,One year,Electronic check,DSL,No,No internet service,No,No,No,No,0
CUST_00017,22,51.50105071834246,161.49336512484052,Month-to-month,Electronic check,Fiber optic,No internet service,Yes,No internet service,No internet service,No internet service,No internet service,0
CUST_00018,49,42.460244007488484,6048.554776639323,One year,Bank transfer,Fiber optic,No,No,No,No,Yes,No internet service,0
CUST_00019,59,26.91535677185012,940.3085144434253,One year,Mailed check,DSL,No,No,Yes,No internet service,Yes,No,0
CUST_00020,42,102.74987416356734,750.5582373178554,Two year,Credit card,DSL,Yes,No internet service,Yes,No,No,No,0
CUST_00021,60,45.45405429216612,121.33961298989139,Month-to-month,Electronic check,No,Yes,No internet service,No,No,No,No,0
CUST_00022,15,67.30275033430206,3517.550475059725,Two year,Bank transfer,No,Yes,No internet service,No,No,No internet service,No internet service,0
CUST_00023,62,24.331527325431196,4075.7848171164337,Month-to-month,Mailed check,No,No,Yes,No,No internet service,No internet service,No internet service,0
CUST_00024,62,89.93394662526431,5137.545964573866,Month-to-month,Credit card,No,Yes,Yes,Yes,No internet service,Yes,Yes,1
CUST_00025,47,53.056100230629085,2438.904341629428,One year,Electronic check,No,No internet service,No,No,No internet service,No,No,0
CUST_00026,62,94.473672782921,5712.355259455561,One year,Credit card,No,Yes,No internet service,No,Yes,No,Yes,0
CUST_00027,51,61.240306046786614,1437.7216735148384,Two year,Credit card,Fiber optic,Yes,No internet service,Yes,Yes,No,No,0
CUST_00028,55,39.57556064056246,6672.721419571744,Two year,Bank transfer,DSL,No internet service,Yes,No,No,No,No internet service,0
CUST_00029,64,71.3175082282036,4617.60179823452,Two year,Bank transfer,No,Yes,No,No internet service,No internet service,No internet service,No,0
CUST_00030,3,33.05045596374398,4712.729604639183,Month-to-month,Credit card,Fiber optic,Yes,No internet service,Yes,No internet service,No internet service,No,1
CUST_00031,51,64.05391598729948,1757.2257688549541,Two year,Credit card,DSL,No,Yes,No,No,Yes,No internet service,0
CUST_00032,7,51.73054774204866,685.4591194730672,Month-to-month,Electronic check,DSL,No,Yes,No,No,No,No internet service,1
CUST_00033,21,111.19595841996332,3771.3259443373045,Month-to-month,Mailed check,DSL,Yes,No internet service,Yes,No,No internet service,No,1
CUST_00034,39,26.092872172071996,4963.334420186636,Month-to-month,Mailed check,No,No internet service,No internet service,Yes,No,No,No,0
CUST_00035,18,89.4017414105742,850.8670234273162,Month-to-month,Credit card,No,Yes,No,No internet service,No internet service,Yes,No,1
CUST_00036,4,38.275116598743594,7609.222348772517,Month-to-month,Bank transfer,No,Yes,No internet service,No,Yes,No,No,1
CUST_00037,60,51.90450743322398,7845.273445839174,One year,Mailed check,DSL,Yes,Yes,No,No internet service,No internet service,No,0
CUST_00038,14,61.551406306206594,4409.107893600687,Month-to-month,Credit card,DSL,No,No internet service,No,Yes,No internet service,No internet service,0
CUST_00039,9,110.80150893749742,7605.546326659909,Month-to-month,Bank transfer,Fiber optic,No internet service,No internet service,Yes,No,Yes,No,1
CUST_00040,53,44.25782660738251,1517.6173768887393,One year,Electronic check,Fiber optic,No internet service,No,Yes,Yes,Yes,No internet service,0
CUST_00041,2,29.130880254467023,300.8234129182466,One year,Mailed check,Fiber optic,No internet service,Yes,Yes,No internet service,No,Yes,0
CUST_00042,60,51.868960399052355,411.33532879408045,One year,Electronic check,Fiber optic,No,No internet service,No,No internet service,No,Yes,0
CUST_00043,71,30.467597053553334,4741.348587471555,Two year,Bank transfer,DSL,No,Yes,No,No internet service,No internet service,No,0
CUST_00044,44,32.85964859605525,586.9708791509058,Two year,Credit card,No,Yes,No,Yes,No internet service,No internet service,Yes,0
CUST_00045,8,77.38505979750266,7672.510293910288,Month-to-month,Electronic check,No,No,Yes,No internet service,No internet service,No internet service,No internet service,1
CUST_00046,47,26.09019330994933,1221.2723649992488,Month-to-month,Credit card,No,Yes,No internet service,No,No internet service,Yes,Yes,0
CUST_00047,35,23.093088139356603,2507.310167818531,Month-to-month,Mailed check,No,No,No internet service,No internet service,No,Yes,Yes,0
CUST_00048,36,91.44141014704978,6597.890635786953,Month-to-month,Electronic check,Fiber optic,Yes,No,Yes,Yes,Yes,No internet service,1
CUST_00049,50,56.16470948410445,1828.0485525223353,One year,Mailed check,DSL,No,No,No,No,No,No,0
CUST_00050,4,32.53753492338733,2019.4508217911077,Two year,Mailed check,No,No internet service,No,No internet service,Yes,Yes,No internet service,0
CUST_00051,2,45.361277085970826,5174.240750749044,One year,Mailed check,DSL,Yes,Yes,No,Yes,No,No internet service,1
CUST_00052,6,84.2086507352399,2281.0800990651724,Two year,Mailed check,Fiber optic,No,Yes,No internet service,Yes,No,No,1
CUST_00053,54,47.55365671408512,1817.8363086608322,One year,Mailed check,Fiber optic,No,Yes,No,No internet service,No,No internet service,0
CUST_00054,4,69.4521125120408,2108.0039430146944,Month-to-month,Bank transfer,No,Yes,Yes,No internet service,No internet service,Yes,No,1
CUST_00055,54,32.16953067266723,3976.115244791742,Two year,Electronic check,No,No,No,No internet service,No internet service,No internet service,No internet service,0
CUST_00056,63,78.8093637605447,7732.188994578709,Month-to-month,Credit card,Fiber optic,No internet service,Yes,Yes,Yes,Yes,Yes,0
